case_code,market_name,addr,business_week,context,ValidDate,Latitude,Lontitude,type,badge_code,business_hours,business_hurs_end,last_edited_date
2020113000157,摩斯漢堡-土城金城店,新北市土城區金城路三段58號1樓,星期一，星期二，星期三，星期四，星期五，星期六，星期日,安心食品為台灣第一家引進的日式速食業者（MOS），以提供好吃的摩斯米漢 堡為特色，深耕在地，邁入第29個年頭。摩斯漢堡極度重視食品安全，以高規格、 高品質致力於提升顧客服務與維護顧客飲食健康。,2026/12/02 00:00:00,24.986691,121.466131,餐飲,B000384,07:00,22:00,2024/05/02 10:30:48
2020113000156,摩斯漢堡-南崁特力店,桃園市蘆竹區中正路1號(特力屋南崁購物中心),星期一，星期二，星期三，星期四，星期五，星期六，星期日,安心食品為台灣第一家引進的日式速食業者（MOS），以提供好吃的摩斯米漢 堡為特色，深耕在地，邁入第29個年頭。摩斯漢堡極度重視食品安全，以高規格、 高品質致力於提升顧客服務與維護顧客飲食健康。,2026/12/02 00:00:00,25.040673,121.295283,餐飲,B000371,06:00,23:00,2024/05/02 10:30:47
2020113000154,摩斯漢堡-土城永寧店,新北市土城區中央路三段84，86號1，2樓,星期一，星期二，星期三，星期四，星期五，星期六，星期日,安心食品為台灣第一家引進的日式速食業者（MOS），以提供好吃的摩斯米漢 堡為特色，深耕在地，邁入第29個年頭。摩斯漢堡極度重視食品安全，以高規格、 高品質致力於提升顧客服務與維護顧客飲食健康。,2026/12/02 00:00:00,24.967102,121.436175,餐飲,B000355,06:00,20:00,2024/05/02 10:30:47
2020113000153,摩斯漢堡-松山機場店,臺北市松山區敦化北路340號之9,星期一，星期二，星期三，星期四，星期五，星期六，星期日,安心食品為台灣第一家引進的日式速食業者（MOS），以提供好吃的摩斯米漢 堡為特色，深耕在地，邁入第29個年頭。摩斯漢堡極度重視食品安全，以高規格、 高品質致力於提升顧客服務與維護顧客飲食健康。,2026/12/02 00:00:00,25.061862,121.551994,餐飲,B000353,06:00,23:00,2024/05/02 10:30:46
2020113000145,摩斯漢堡-大甲店,臺中市大甲區經國路480號1.2F,星期一，星期二，星期三，星期四，星期五，星期六，星期日,安心食品為台灣第一家引進的日式速食業者（MOS），以提供好吃的摩斯米漢 堡為特色，深耕在地，邁入第29個年頭。摩斯漢堡極度重視食品安全，以高規格、 高品質致力於提升顧客服務與維護顧客飲食健康。,2026/12/02 00:00:00,24.350093,120.617313,餐飲,B000354,06:00,23:00,2024/05/02 10:30:44
2020113000152,摩斯漢堡-三重徐匯店,新北市三重區三和路四段408號1，2樓,星期一，星期二，星期三，星期四，星期五，星期六，星期日,安心食品為台灣第一家引進的日式速食業者（MOS），以提供好吃的摩斯米漢 堡為特色，深耕在地，邁入第29個年頭。摩斯漢堡極度重視食品安全，以高規格、 高品質致力於提升顧客服務與維護顧客飲食健康。,2026/12/02 00:00:00,25.079744,121.480948,餐飲,B000375,06:00,22:00,2024/05/02 10:30:46
2020113000150,摩斯漢堡-京站二店,臺北市大同區承德路一段1號B2,星期一，星期二，星期三，星期四，星期五，星期六，星期日,安心食品為台灣第一家引進的日式速食業者（MOS），以提供好吃的摩斯米漢 堡為特色，深耕在地，邁入第29個年頭。摩斯漢堡極度重視食品安全，以高規格、 高品質致力於提升顧客服務與維護顧客飲食健康。,2026/12/02 00:00:00,25.04909,121.516784,餐飲,B000364,06:00,23:00,2024/05/02 10:30:46
2020113000151,摩斯漢堡-中港澄清店,臺中市西屯區台灣大道四段958，960號,星期一，星期二，星期三，星期四，星期五，星期六，星期日,安心食品為台灣第一家引進的日式速食業者（MOS），以提供好吃的摩斯米漢 堡為特色，深耕在地，邁入第29個年頭。摩斯漢堡極度重視食品安全，以高規格、 高品質致力於提升顧客服務與維護顧客飲食健康。,2026/12/02 00:00:00,24.182525,120.617149,餐飲,B000373,11:00,21:30,2024/05/02 10:30:46
2020113000146,摩斯漢堡-高雄文化中心店,高雄市苓雅區廣州一街143-7號1.2F,星期一，星期二，星期三，星期四，星期五，星期六，星期日,安心食品為台灣第一家引進的日式速食業者（MOS），以提供好吃的摩斯米漢 堡為特色，深耕在地，邁入第29個年頭。摩斯漢堡極度重視食品安全，以高規格、 高品質致力於提升顧客服務與維護顧客飲食健康。,2026/12/02 00:00:00,22.625329,120.316489,餐飲,B000356,06:00,22:00,2024/05/02 10:30:44
2020113000147,摩斯漢堡-高雄大順店,高雄市三民區大順二路851&853號,星期一，星期二，星期三，星期四，星期五，星期六，星期日,安心食品為台灣第一家引進的日式速食業者（MOS），以提供好吃的摩斯米漢 堡為特色，深耕在地，邁入第29個年頭。摩斯漢堡極度重視食品安全，以高規格、 高品質致力於提升顧客服務與維護顧客飲食健康。,2026/12/02 00:00:00,22.653514,120.318659,餐飲,B000357,00:00,00:00,2024/05/02 10:30:45
2020113000142,摩斯漢堡-大里中興店,臺中市大里區中興路二段436號,星期一，星期二，星期三，星期四，星期五，星期六，星期日,安心食品為台灣第一家引進的日式速食業者（MOS），以提供好吃的摩斯米漢 堡為特色，深耕在地，邁入第29個年頭。摩斯漢堡極度重視食品安全，以高規格、 高品質致力於提升顧客服務與維護顧客飲食健康。,2026/12/02 00:00:00,24.108778,120.690084,餐飲,B000345,06:00,22:00,2024/05/02 10:30:43
2020113000139,摩斯漢堡-永康中華店,臺南市永康區中華路353號,星期一，星期二，星期三，星期四，星期五，星期六，星期日,安心食品為台灣第一家引進的日式速食業者（MOS），以提供好吃的摩斯米漢 堡為特色，深耕在地，邁入第29個年頭。摩斯漢堡極度重視食品安全，以高規格、 高品質致力於提升顧客服務與維護顧客飲食健康。,2026/12/02 00:00:00,23.008375,120.233659,餐飲,B000341,06:00,23:00,2024/05/02 10:30:42
2020113000143,摩斯漢堡-彰化中正店,彰化縣彰化市中正路二段15&17號1~3F,星期一，星期二，星期三，星期四，星期五，星期六，星期日,安心食品為台灣第一家引進的日式速食業者（MOS），以提供好吃的摩斯米漢 堡為特色，深耕在地，邁入第29個年頭。摩斯漢堡極度重視食品安全，以高規格、 高品質致力於提升顧客服務與維護顧客飲食健康。,2026/12/02 00:00:00,24.080725,120.539018,餐飲,B000350,06:00,23:00,2024/05/02 10:30:43
