年度	期別	課程總門數（筆數）	開課月份	課程名稱	授課講師	課程時間	上課人數	備註
112年	第1期	3	6	<全日班>非正規教育學分班-勞動基準法及相關法令剖析	邱駿彥	6月8日	58	
112年	第1期	1	6	遲到5分鐘扣薪水1000元合法嗎？工資給付規定與常見的違法案例解析	陳庭琪	6月6日	110	
112年	第1期	1	6	快看!勞動契約成立與終止時須注意的事項及爭議案例	黃馨慧	6月5日	101	
112年	第1期	5	6	勞動基準法概論	李柏毅	6月1日	95	
112年	第1期	1	5	勞工請假權益與相關法令概要	蔡晴羽	5月12日	112	
112年	第1期	1	5	職業災害-認定依據及案例探討	李瑞敏	5月10日	110	
112年	第1期	1	5	加班需要誰同意？談工時規定與加班之界線	葛百鈴	5月8日	114	
112年	第1期	1	5	薪水條的秘密-解析薪資內容與勞動權益間之關係	廖蕙芳	5月5日	114	
112年	第1期	1	5	何謂合法的調動？勞基法「調動五原則」解析	邱靖棠	5月3日	93	
112年	第1期	1	5	工作規則與勞動契約的制定與適用	蔡菘萍	5月2日	107	
112年	第1期	5	5	勞動基準法概論	李柏毅	5月11日	110	
112年	第1期	5	5	勞動基準法概論	李柏毅	5月1日	90	
112年	第1期	1	4	勞資爭議調解技巧與實務案例解析	林俊宏	4月14日	102	
112年	第1期	1	4	職場性別平權與防範措施	傅柏翔	4月13日	86	
112年	第1期	1	4	<全日班> 職場不法侵害與預防補救措施規定之教戰守則	王安祥	4月12日	106	
112年	第1期	1	4	從生育到育嬰常見之實務爭議案例與法令規範	劉素吟	4月6日	95	
112年	第1期	1	3	就業歧視地雷大公開-常見之就業歧視案例分析	王如玄	3月20日	72	
112年	第1期	1	3	勞資爭議處理機制及勞動事件法對勞工之保障	邱羽凡	3月17日	115	
111年	第2期	1	8至11月	勞動基準法入門班【第二梯】	陳庭琪	11月28日	106	
111年	第2期	1	8至11月	實務常見之就業歧視爭議案例研討	劉素吟	11月21日	53	
111年	第2期	1	8至11月	職場性別平權與防範措施	王如玄	11月21日	58	
111年	第2期	1	8至11月	勞資爭議調解實務案例解析不可不知的調解眉角!	詹傑翔	11月10日	107	
111年	第2期	1	8至11月	團體協約(勞資會議)簽訂之法治與實務案例	黃馨慧	11月9日	83	
111年	第2期	1	8至11月	電傳勞動者之勞動權益解析	余天琦	11月8日	46	
111年	第2期	5	8至11月	勞動基準法概論	程居威	11月29日	89	
111年	第2期	5	8至11月	勞動基準法概論	程居威	11月22日	86	
111年	第2期	5	8至11月	勞動基準法概論	程居威	11月15日	94	
111年	第2期	5	8至11月	勞動基準法概論	程居威	11月7日	89	
111年	第2期	5	8至11月	勞動基準法概論	程居威	11月1日	95	
111年	第2期	1	8至11月	常見之工作規則適用爭議及案例解析	李有容	10月31日	84	
111年	第2期	1	8至11月	僱人做事的四種法令關係-僱傭、承攬、委任、派遣大不同	邱靖棠	10月28日	106	
111年	第2期	1	8至11月	職業災害-認定依據及案例探討	李瑞敏	10月13日	91	
111年	第2期	1	8至11月	認識勞工請假規則	蔡菘萍	10月7日	102	
111年	第2期	1	8至11月	【全日班】職場霸凌之身體及精神暴力：法規保障及企業處置篇	王安祥	10月6日	90	
111年	第2期	1	8至11月	從招募到簽訂勞動契約談雇主常見之違法行為	姚妤嬙	10月3日	88	
111年	第2期	1	8至11月	勞動基準法入門班【第一梯】	陳庭琪	9月26日	103	
111年	第2期	1	8至11月	勞工職業災害保險及保護法概述	王嘉琪	9月7日	83	
111年	第2期	1	8至11月	【全日班】常見工時與工資爭議案例解析	張軒豪	9月13日	86	
111年	第2期	1	8至11月	不可不知的勞基法第10 條之一「調動五原則」解析	李柏毅	9月8日	90	
